datetime,open,high,low,close,volume
2021-02-02,294.946,307.0,285.008,303.527,111124.54139
2021-02-03,303.532,389.404,301.0,385.608,152204.4384
2021-02-04,385.552,546.88,384.982,467.422,556634.2144
2021-02-05,467.426,549.0,465.026,506.688,216719.2344
2021-02-06,507.12,511.806,436.252,473.986,164592.7204
2021-02-07,474.622,482.979,393.263,473.491,154126.4624
2021-02-08,473.475,532.426,432.0,489.702,158265.9184
2021-02-09,489.755,511.0,472.153,489.397,82154.9814
2021-02-10,489.397,580.0,489.104,523.231,175647.0564
2021-02-11,523.259,542.444,509.021,518.269,105834.07636
2021-02-12,518.0,546.319,500.501,528.914,117139.7384
2021-02-13,529.235,543.978,486.0,494.752,95752.1344
2021-02-14,495.187,509.75,461.147,468.708,75257.3184
2021-02-15,469.453,497.0,352.0,454.995,172898.2364
2021-02-16,455.314,478.958,422.855,433.114,73200.4934
2021-02-17,432.788,468.317,400.0,452.413,118969.9744
2021-02-18,452.455,480.0,435.501,441.853,77209.8004
2021-02-19,442.376,448.255,406.263,420.035,106768.01039
2021-02-20,420.0,499.997,407.2,442.274,194435.9934
2021-02-21,442.13,458.649,426.081,438.156,76426.32139
2021-02-22,438.192,449.21,358.5,399.733,173095.65738
2021-02-23,399.841,403.58,280.835,364.594,275777.8694
2021-02-24,364.403,406.49,340.339,368.425,138670.85339
2021-02-25,368.429,388.571,334.447,338.621,76234.47035
2021-02-26,338.354,353.405,304.2,323.727,100468.28338
2021-02-27,323.728,350.0,323.305,333.076,50247.53031
2021-02-28,333.524,366.208,301.1,355.03,84204.04032
2021-03-01,355.175,390.167,351.268,385.606,93081.4934
2021-03-02,385.606,417.731,375.0,391.153,94520.06538
2021-03-03,391.463,419.5,384.181,396.012,62983.20535
2021-03-04,395.4,410.536,365.993,374.509,58801.18727
2021-03-05,374.589,377.092,340.027,367.543,60179.3733
2021-03-06,367.91,391.957,351.776,388.911,31670.56987
2021-03-07,388.746,419.0,384.212,414.995,65653.21934
2021-03-08,415.62,437.357,392.21,437.357,77499.97312
2021-03-09,437.357,449.756,417.215,444.893,54505.07322
2021-03-10,444.8,459.0,400.0,406.341,69866.54416
2021-03-11,406.32,415.492,388.241,406.8,58787.15631
2021-03-12,406.251,408.34,360.0,374.527,60022.07134
2021-03-13,374.487,428.399,360.089,413.962,70372.69937
2021-03-14,413.964,418.493,377.105,380.362,46508.6904
2021-03-15,380.222,389.795,355.0,367.543,53608.11632
2021-03-16,367.909,377.395,350.104,370.579,50397.55212
2021-03-17,370.565,383.765,358.0,382.535,36374.019
2021-03-18,382.632,384.4,361.028,363.053,40566.32411
2021-03-19,363.053,379.007,354.372,368.665,31336.48766
2021-03-20,368.915,397.0,367.12,370.317,37213.63705
2021-03-21,370.542,376.084,359.436,367.751,22301.20422
2021-03-22,367.751,371.94,333.0,336.101,32819.98605
2021-03-23,336.507,345.642,326.118,330.229,37869.18495
2021-03-24,330.428,348.788,297.166,308.313,34557.7765
2021-03-25,308.31,334.264,298.004,325.493,57056.53286
2021-03-26,325.636,362.147,325.339,358.727,48446.88431
2021-03-27,358.691,362.105,339.632,351.372,29563.38511
2021-03-28,351.376,356.818,332.336,347.428,32046.21358
2021-03-29,347.539,367.315,344.201,360.69,39483.37751
2021-03-30,361.466,382.7,353.0,377.454,46889.96877
2021-03-31,377.523,393.486,358.015,383.306,66343.60829
2021-04-01,383.105,393.22,370.412,382.302,41086.31621
2021-04-02,382.381,422.969,377.401,420.086,55034.75599
2021-04-03,420.386,425.0,376.813,379.352,38371.82995
2021-04-04,379.159,414.0,372.403,403.915,36587.5404
2021-04-05,404.195,408.376,383.81,398.371,25732.24056
2021-04-06,398.536,415.468,380.0,383.307,51877.19107
2021-04-07,383.307,387.331,341.1,348.898,61887.91631
2021-04-08,348.983,371.38,346.044,371.376,30864.19339
2021-04-09,371.38,373.793,356.976,358.845,23314.32101
2021-04-10,358.944,375.767,356.051,367.929,36733.87587
2021-04-11,367.931,372.856,360.243,372.088,25246.01014
2021-04-12,372.116,416.69,365.0,397.116,115433.27402
2021-04-13,396.991,419.862,385.099,399.156,78743.06928
2021-04-14,399.432,429.85,386.7,427.879,93766.32933
2021-04-15,428.374,486.763,422.6,467.282,112726.37036
2021-04-16,467.575,470.232,420.391,442.081,66717.67936
2021-04-17,442.074,462.611,420.432,425.402,37295.54318
2021-04-18,425.308,428.904,330.112,382.094,135786.76539
2021-04-19,382.094,398.395,340.919,345.578,65238.38338
2021-04-20,345.847,372.521,316.116,361.116,67776.29937
2021-04-21,361.041,384.592,341.708,350.132,97892.03708
2021-04-22,350.51,413.783,338.915,360.1,124773.74139
2021-04-23,360.001,371.972,310.277,344.387,124438.44634
2021-04-24,344.462,344.609,315.048,317.649,42288.82567
2021-04-25,318.105,353.807,314.418,349.031,58385.58265
2021-04-26,349.196,408.731,345.809,406.123,104325.49538
2021-04-27,405.516,450.0,394.698,440.869,91514.98007
2021-04-28,441.102,486.46,423.591,461.038,118737.31038
2021-04-29,461.293,463.333,424.276,438.792,53796.66733
2021-04-30,438.95,454.961,430.0,444.998,54354.5721
2021-05-01,444.998,512.998,436.9,504.894,94740.76331
2021-05-02,505.067,508.355,473.021,483.104,48090.82413
2021-05-03,483.209,535.313,481.787,518.421,78222.75135
2021-05-04,518.819,520.229,444.21,448.723,119769.43938
2021-05-05,448.512,486.361,440.13,481.51,72406.25036
2021-05-06,481.51,482.679,441.328,453.189,66695.14733
2021-05-07,453.403,469.184,432.812,445.644,54346.53123
2021-05-08,445.733,476.325,441.075,467.226,56893.89714
2021-05-09,467.537,469.303,441.1,459.708,46480.61028
2021-05-10,459.926,482.916,401.394,434.013,72468.48829
2021-05-11,433.388,460.0,417.482,458.592,60938.72826
2021-05-12,458.592,597.832,456.921,510.858,375028.6324
2021-05-13,510.86,621.005,451.089,509.364,331903.7014
2021-05-14,508.923,634.426,506.373,595.113,195298.24738
2021-05-15,595.114,613.0,508.845,517.353,144997.9494
2021-05-16,517.551,562.72,478.401,528.4,135307.35729
2021-05-17,527.825,594.284,470.213,572.172,250176.1134
2021-05-18,572.938,670.0,563.079,628.5,266088.1204
2021-05-19,629.044,649.462,344.21,413.28,376517.6394
2021-05-20,413.28,511.357,359.283,467.831,271450.59839
2021-05-21,468.243,495.971,309.603,375.265,297393.25439
2021-05-22,375.646,382.967,310.0,334.658,172177.58839
2021-05-23,334.658,350.881,208.562,293.573,299015.86639
2021-05-24,293.573,399.0,289.088,387.613,260414.6964
2021-05-25,387.647,404.898,321.818,370.743,197416.87838
2021-05-26,371.126,419.698,358.172,414.68,195777.41839
2021-05-27,414.874,415.271,365.107,372.46,134779.75329
2021-05-28,372.595,376.727,303.879,319.841,214503.0464
2021-05-29,319.946,335.866,280.525,298.395,166386.44034
2021-05-30,298.509,339.17,282.065,324.369,102322.18233
2021-05-31,324.137,385.952,304.431,382.0,156398.80337
2021-06-01,382.241,393.858,360.076,373.362,125322.41835
2021-06-02,373.339,401.88,361.378,383.617,74485.12011
2021-06-03,383.393,409.0,376.436,398.296,51695.58013
2021-06-04,398.765,398.765,346.683,373.24,68639.72921
2021-06-05,373.19,391.762,347.115,356.249,46492.72199
2021-06-06,356.171,368.983,354.786,365.647,23768.61513
2021-06-07,365.885,387.806,331.396,334.804,50602.2768
2021-06-08,334.074,339.285,296.59,329.625,90083.19823
2021-06-09,329.414,342.721,305.988,339.0,58908.66384
2021-06-10,339.0,339.99,304.232,310.618,29291.03871
2021-06-11,310.571,315.123,280.645,285.691,42012.87924
2021-06-12,285.206,289.523,265.489,278.636,53392.03761
2021-06-13,278.684,318.347,266.823,316.546,53309.92538
2021-06-14,316.52,336.073,308.826,318.158,55083.04659
2021-06-15,318.128,327.336,307.472,311.7,36024.69869
2021-06-16,311.436,313.841,287.143,290.455,33107.11194
2021-06-17,290.652,305.48,285.29,293.454,19682.8551
2021-06-18,293.452,293.837,252.91,265.068,52912.49089
