datetime,open,high,low,close,volume
2021-06-16,24.0,24.0,22.5,23.04,731607.48466
2021-06-17,23.04,24.004,22.002,22.553,777908.32136
2021-06-18,22.559,22.571,20.222,21.468,1330098.1044
2021-06-19,21.437,21.665,20.227,20.227,547034.14839
2021-06-20,20.222,21.0,18.878,20.653,601282.41231
2021-06-21,20.596,20.8,15.673,15.732,1365673.1804
2021-06-22,15.726,22.8,13.15,14.676,2994535.8174
2021-06-23,14.715,16.842,14.0,15.813,2036329.8534
2021-06-24,15.813,16.606,14.737,16.224,1155981.43439
2021-06-25,16.22,16.731,14.419,14.434,1190915.65839
2021-06-26,14.433,14.987,13.705,14.677,1006464.30939
2021-06-27,14.68,15.2,14.077,15.014,845818.24834
2021-06-28,15.027,16.038,14.602,15.786,1367247.34937
2021-06-29,15.806,17.112,15.72,16.255,1674870.90536
2021-06-30,16.305,16.636,15.097,16.416,1172400.69835
2021-07-01,16.42,16.42,14.85,15.202,954947.59824
2021-07-02,15.188,15.459,14.63,15.295,738167.93524
2021-07-03,15.3,15.756,14.99,15.53,480326.72097
2021-07-04,15.53,16.58,15.17,15.974,690420.02603
2021-07-05,15.972,15.983,14.755,15.239,738731.26877
2021-07-06,15.248,16.231,15.199,16.144,926262.04122
2021-07-07,16.128,17.677,16.083,16.853,1894698.02731
2021-07-08,16.837,16.916,15.001,15.32,1521815.67434
2021-07-09,15.316,15.91,14.84,15.683,721279.90092
2021-07-10,15.695,15.995,15.05,15.287,396697.77766
2021-07-11,15.275,15.704,15.149,15.493,344700.41796
2021-07-12,15.488,15.651,14.411,14.854,556254.38133
2021-07-13,14.855,15.1,14.02,14.184,549838.26675
2021-07-14,14.209,14.233,13.169,13.808,923940.50134
2021-07-15,13.801,14.108,12.743,13.108,982449.76425
2021-07-16,13.112,13.321,12.005,12.026,974652.27835
2021-07-17,12.032,12.747,11.722,12.3,999868.78126
2021-07-18,12.304,12.935,12.266,12.678,771950.01492
2021-07-19,12.678,12.748,11.354,11.457,1018502.09907
2021-07-20,11.467,11.557,10.378,10.96,1618913.7134
2021-07-21,10.97,12.864,10.66,12.336,1853976.61836
2021-07-22,12.343,13.374,11.801,13.175,1382718.56828
2021-07-23,13.167,13.531,12.33,13.408,1432322.61232
2021-07-24,13.413,14.07,13.135,13.758,1365732.13027
2021-07-25,13.781,13.846,13.088,13.758,1057455.22326
2021-07-26,13.758,15.3,13.658,13.926,2403351.09138
2021-07-27,13.921,14.547,13.358,14.387,1699803.61633
2021-07-28,14.37,14.769,13.939,14.543,1383476.28035
2021-07-29,14.544,15.395,14.27,15.264,1439467.86526
2021-07-30,15.264,15.86,14.428,15.812,1501381.72029
2021-07-31,15.801,17.04,15.593,16.803,1570179.47033
2021-08-01,16.796,19.899,16.564,18.413,3702793.6704
2021-08-02,18.425,18.924,17.563,17.986,1735216.07339
2021-08-03,17.987,18.538,16.812,17.436,1084497.08936
2021-08-04,17.429,19.589,17.1,19.15,1670809.8091
2021-08-05,19.152,19.454,17.869,19.137,1548852.25134
2021-08-06,19.149,20.833,18.526,20.436,1355346.04031
2021-08-07,20.436,21.697,20.017,20.972,1522210.13939
2021-08-08,20.987,21.219,19.206,19.675,1227232.35237
2021-08-09,19.683,21.278,18.641,20.583,1409763.14911
2021-08-10,20.583,21.424,20.069,20.621,1814688.10933
2021-08-11,20.623,22.472,20.55,21.354,2109535.95539
2021-08-12,21.364,22.309,19.913,20.751,1237081.36937
2021-08-13,20.772,22.775,20.521,22.752,1545861.96237
2021-08-14,22.752,23.483,21.792,22.865,1246219.76539
2021-08-15,22.862,23.356,21.853,23.179,948876.00437
2021-08-16,23.178,25.72,22.85,24.433,2940809.6534
2021-08-17,24.43,27.499,23.016,23.53,3926168.9874
2021-08-18,23.539,25.187,22.5,23.875,2769231.06140001
2021-08-19,23.886,26.882,23.471,26.596,2200394.8514
2021-08-20,26.6,28.48,26.094,28.169,2289660.9894
2021-08-21,28.179,29.386,27.508,27.883,1622341.5694
2021-08-22,27.871,28.747,26.529,27.69,1693529.76136
2021-08-23,27.71,28.65,27.331,27.894,1721620.6054
2021-08-24,27.893,28.185,24.325,25.088,2207682.17339
2021-08-25,25.086,26.569,24.484,25.995,1821656.3414
2021-08-26,25.985,26.408,23.471,23.932,1933524.3904
2021-08-27,23.915,26.814,23.461,26.543,1962748.4784
2021-08-28,26.559,26.772,25.44,25.98,1089324.04539
2021-08-29,25.981,26.49,25.273,25.735,1230076.53138
2021-08-30,25.725,27.596,24.328,26.03,2814095.52538
2021-08-31,26.055,32.0,25.614,31.353,6604408.8954
2021-09-01,31.356,33.882,29.618,33.2,5058796.8364
2021-09-02,33.196,33.223,31.308,31.814,2904863.2724
2021-09-03,31.813,34.041,31.011,33.601,3060637.3944
2021-09-04,33.612,34.153,32.023,32.384,1866652.2834
2021-09-05,32.425,34.797,32.01,34.454,1980645.63939
2021-09-06,34.45,35.076,32.416,34.355,2230283.9094
2021-09-07,34.361,35.683,22.0,27.965,6527814.4544
2021-09-08,28.0,28.917,25.217,27.778,4910793.0224
2021-09-09,27.784,31.88,27.007,29.842,4743556.6144
2021-09-10,29.817,32.695,28.0,29.2,3517122.36040001
2021-09-11,29.178,32.097,28.274,31.57,2733793.4384
2021-09-12,31.57,36.515,30.631,35.825,5121519.1344
2021-09-13,35.823,38.159,31.452,34.859,7672100.2254
2021-09-14,34.86,38.791,34.05,37.38,5528270.8724
