datetime,open,high,low,close,volume
2021-02-02,33525.58,36001.9175,33447.0525,35514.35,0.0
2021-02-03,35507.6375,37720.6475,35396.7925,37688.8725,0.0
2021-02-04,37695.575,38754.765,36191.795,36987.58,0.0
2021-02-05,36984.185,38355.405,36607.42,38309.9425,0.0
2021-02-06,38324.045,41002.87,38244.9975,39273.03,0.0
2021-02-07,39271.3675,39722.7775,37398.695,38868.57,0.0
2021-02-08,38877.0325,46747.33,38060.94,46431.245,0.0
2021-02-09,46425.3975,48209.83,45026.95,46507.4325,0.0
2021-02-10,46513.2875,47354.0225,43737.6775,44851.2175,0.0
2021-02-11,44852.7825,48696.6625,44033.3775,47987.3325,0.0
2021-02-12,48003.775,48953.0,46271.0225,47438.89,0.0
2021-02-13,47423.98,48216.0375,46264.995,47230.7775,0.0
2021-02-14,47243.4525,49702.79,47080.9625,48660.45,0.0
2021-02-15,48652.725,49053.3175,45805.93,47935.8025,0.0
2021-02-16,47954.68,50612.4425,47043.2875,49184.5275,0.0
2021-02-17,49161.2025,52681.6225,48946.5275,52161.055,0.0
2021-02-18,52152.79,52561.4975,50883.085,51591.845,0.0
2021-02-19,51583.0425,56363.1125,50718.8325,55970.9075,0.0
2021-02-20,55977.665,57526.8275,53990.5,55951.415,0.0
2021-02-21,55930.86,58372.285,55530.1025,57492.04,0.0
2021-02-22,57489.645,57576.72,47179.0,54157.43,0.0
2021-02-23,54146.56,54199.7775,45028.82,48910.7625,0.0
2021-02-24,48922.155,51435.8475,47013.0025,49748.1475,0.0
2021-02-25,49729.9475,52083.2225,46706.2525,47074.9725,0.0
2021-02-26,47064.12,48463.91,44145.545,46329.3875,0.0
2021-02-27,46334.9375,48363.0775,45046.42,46167.6375,0.0
2021-02-28,46143.98,46669.3775,43022.665,45238.64,0.0
2021-03-01,45247.535,49832.155,45046.505,49638.7375,0.0
2021-03-02,49636.5,50247.105,47067.8375,48502.02,0.0
2021-03-03,48489.2475,52664.005,48170.29,50383.17,0.0
2021-03-04,50387.995,51808.4,47500.75,48356.735,0.0
2021-03-05,48354.1025,49468.06,46294.005,48754.165,0.0
2021-03-06,48769.7,49235.55,47092.015,48902.95,0.0
2021-03-07,48918.635,51471.6825,48918.6075,50977.285,0.0
2021-03-08,50978.235,52419.14,49336.99,52408.405,0.0
2021-03-09,52414.055,54930.3875,51867.7275,54923.065,0.0
2021-03-10,54923.3825,57395.7575,53033.75,55858.515,0.0
2021-03-11,55887.4925,58134.7725,54280.01,57804.9625,0.0
2021-03-12,57844.1125,58080.98,55041.6975,57241.355,0.0
2021-03-13,57245.175,61768.795,56094.98,61173.205,0.0
2021-03-14,61182.42,61675.9225,58973.2475,58997.37,0.0
2021-03-15,58976.94,60583.1975,54579.2,55628.8325,0.0
2021-03-16,55619.235,56945.6175,53236.9875,56917.675,0.0
2021-03-17,56927.0775,58983.2925,54139.765,58917.345,0.0
2021-03-18,58935.775,60070.81,57016.6825,57640.2625,0.0
2021-03-19,57643.065,59455.7075,56270.245,58090.0,0.0
2021-03-20,58047.6425,59896.35,57842.8975,58117.48,0.0
2021-03-21,58098.9625,58690.7725,55520.0975,57378.6275,0.0
2021-03-22,57389.9675,58433.005,53743.575,54095.6,0.0
2021-03-23,54109.8675,55857.015,52986.0075,54364.5825,0.0
2021-03-24,54344.6,57215.575,51676.095,52289.62,0.0
2021-03-25,52280.7175,53241.0025,50375.5025,51324.1225,0.0
2021-03-26,51321.205,55115.325,51259.3725,55069.4325,0.0
2021-03-27,55078.1075,56654.62,53976.0875,55853.0675,0.0
2021-03-28,55847.195,56571.5875,54695.355,55786.5525,0.0
2021-03-29,55787.1175,58452.415,54900.515,57610.7275,0.0
2021-03-30,57617.5475,59386.7125,57028.105,58774.2275,0.0
2021-03-31,58779.575,59801.7475,56820.2625,58793.155,0.0
2021-04-01,58787.5975,59469.555,57941.705,58728.87,0.0
2021-04-02,58733.845,60070.765,58466.72,59004.0675,0.0
2021-04-03,58990.5175,59784.985,56942.5025,57091.5725,0.0
2021-04-04,57084.6675,58498.625,56478.295,58210.9525,0.0
2021-04-05,58211.5525,59267.465,56830.1725,59121.7175,0.0
2021-04-06,59127.0725,59462.7625,57331.6075,58022.615,0.0
2021-04-07,58026.6,58655.7575,55438.965,55940.0875,0.0
2021-04-08,55937.9125,58149.825,55702.8225,58075.6975,0.0
2021-04-09,58065.4275,58882.9825,57665.8825,58108.4575,0.0
2021-04-10,58120.65,61207.0475,57882.065,59776.6,0.0
2021-04-11,59773.855,60667.6225,59180.2275,59975.28,0.0
2021-04-12,59980.3525,61207.6625,59387.53,59839.575,0.0
2021-04-13,59834.645,63747.1125,59790.0525,63589.9225,0.0
2021-04-14,63598.0425,64898.555,61310.495,62974.7825,0.0
2021-04-15,62966.465,63843.0775,62032.6575,63237.2225,0.0
2021-04-16,63238.815,63589.01,60061.4025,61438.79,0.0
2021-04-17,61440.35,62583.915,59701.0625,60061.09,0.0
2021-04-18,60073.2525,60428.775,51597.7125,56271.87,0.0
2021-04-19,56257.9175,57612.065,54242.9125,55700.7925,0.0
2021-04-20,55700.7925,57121.435,53408.7675,56501.88,0.0
2021-04-21,56493.93,56815.54,53620.0975,53806.5825,0.0
2021-04-22,53811.6575,55479.345,50448.5225,51704.1075,0.0
2021-04-23,51700.0375,52125.0875,47449.9875,51187.5525,0.0
2021-04-24,51187.1675,51231.145,48735.405,50107.2925,0.0
2021-04-25,50111.84,50589.1275,47020.9125,49123.22,0.0
2021-04-26,49123.6625,54410.015,48817.06,54059.8475,0.0
2021-04-27,54044.9225,55516.6525,53331.4425,55080.8275,0.0
2021-04-28,55081.3225,56487.7225,53873.125,54895.465,0.0
2021-04-29,54890.7475,55232.535,52389.7325,53590.8525,0.0
2021-04-30,53588.74,58018.89,53077.7025,57789.0575,0.0
2021-05-01,57791.435,58538.5575,57067.1425,57859.9475,0.0
2021-05-02,57870.175,57974.3,56085.4775,56625.7675,0.0
2021-05-03,56617.0825,58984.0825,56507.07,57209.99,0.0
2021-05-04,57214.2275,57239.995,53085.2875,53239.4225,0.0
2021-05-05,53225.2725,57972.755,52946.1525,57511.91,0.0
2021-05-06,57513.26,58426.74,55270.4925,56439.795,0.0
2021-05-07,56437.5075,58726.755,55304.0325,57384.81,0.0
2021-05-08,57386.145,59546.02,56988.975,58969.925,0.0
2021-05-09,58964.3875,59295.8225,56280.6075,58303.4025,0.0
2021-05-10,58324.56,59594.7475,53501.0775,55879.4175,0.0
2021-05-11,55872.7375,56946.8125,54512.495,56759.9075,0.0
2021-05-12,56760.32,58011.03,48496.25,49459.7575,0.0
2021-05-13,49450.7875,51405.1925,45563.375,49685.1225,0.0
2021-05-14,49693.9575,51556.9275,48898.6675,49890.035,0.0
2021-05-15,49895.6275,50746.59,46559.7625,46756.4075,0.0
2021-05-16,46763.9825,49806.77,43796.375,46456.4725,0.0
2021-05-17,46453.9,46644.6125,42098.05,43577.1775,0.0
2021-05-18,43570.15,45842.2975,42302.9575,42879.025,0.0
2021-05-19,42891.2675,43585.1975,29876.05,36752.975,0.0
2021-05-20,36769.6325,42660.3975,34997.25,40612.6375,0.0
2021-05-21,40609.395,42286.12,33519.3575,37335.305,0.0
2021-05-22,37328.5525,38870.15,35259.9525,37485.48,0.0
2021-05-23,37477.6875,38295.44,31100.325,34730.7875,0.0
2021-05-24,34737.5725,39967.605,34431.2175,38853.5125,0.0
2021-05-25,38858.4525,39860.555,36489.3825,38384.4825,0.0
2021-05-26,38376.97,40889.7,37840.425,39294.965,0.0
2021-05-27,39295.2675,40425.205,37188.82,38536.2775,0.0
2021-05-28,38560.21,38900.745,34709.115,35685.1975,0.0
2021-05-29,35687.235,37323.2525,33658.335,34619.3575,0.0
2021-05-30,34636.9375,36507.8075,33409.8625,35676.71,0.0
2021-05-31,35670.66,37524.72,34196.4875,37308.4825,0.0
2021-06-01,37279.855,37923.395,35701.03,36685.2475,0.0
2021-06-02,36685.9975,38237.2675,35926.55,37580.4475,0.0
2021-06-03,37578.315,39484.6825,37180.7675,39229.3325,0.0
2021-06-04,39239.695,39272.9225,35582.8275,36864.8875,0.0
2021-06-05,36858.225,37925.7275,34834.3925,35536.965,0.0
2021-06-06,35536.7,36487.52,35257.32,35803.195,0.0
2021-06-07,35802.6825,36805.445,33330.3475,33584.455,0.0
2021-06-08,33569.8925,34070.955,31011.84,33412.1675,0.0
2021-06-09,33409.7075,37544.0575,32424.52,37401.73,0.0
2021-06-10,37413.4225,38426.9825,35815.685,36685.765,0.0
2021-06-11,36704.15,37677.5,35961.76,37336.5825,0.0
2021-06-12,37336.5875,37451.13,34668.78,35546.655,0.0
2021-06-13,35554.6275,39394.805,34789.5325,39026.525,0.0
2021-06-14,39026.76,41063.925,38756.7575,40534.765,0.0
2021-06-15,40534.46,41335.225,39501.835,40174.73,0.0
2021-06-16,40165.33,40495.2475,38094.855,38349.0475,0.0
2021-06-17,38352.3575,39560.6975,37373.78,38091.5475,0.0
2021-06-18,38101.2875,38208.0925,35147.245,35828.5925,0.0
2021-06-19,35835.41,36452.9525,34841.135,35496.7275,0.0
2021-06-20,35490.5575,36126.265,33351.2325,35592.295,0.0
2021-06-21,35593.3025,35749.11,31257.92,31628.705,0.0
2021-06-22,31613.265,33316.2275,28804.4,32531.0825,0.0
2021-06-23,32533.8975,34902.905,31901.5075,33676.2075,0.0
2021-06-24,33690.8925,35292.6925,32320.885,34666.66,0.0
2021-06-25,34670.1475,35304.64,31288.2575,31594.5075,0.0
2021-06-26,31589.3075,32712.1025,30170.08,32275.4475,0.0
2021-06-27,32275.5875,34732.8275,32014.125,34690.9775,0.0
2021-06-28,34706.3675,35308.1725,33875.2425,34488.3475,0.0
2021-06-29,34494.635,36650.9475,34247.8525,35907.5775,0.0
2021-06-30,35899.955,36094.52,34049.84,35041.1075,0.0
2021-07-01,35068.0775,35086.5175,32711.0625,33534.25,0.0
2021-07-02,33519.6675,33975.1025,32713.1325,33809.2275,0.0
2021-07-03,33806.4,34945.935,33331.0525,34684.7125,0.0
2021-07-04,34682.1675,35960.8775,34393.62,35293.315,0.0
2021-07-05,35283.9775,35287.76,33120.04,33697.2525,0.0
2021-07-06,33704.8575,35107.0525,33530.5075,34232.385,0.0
2021-07-07,34225.53,35075.04,33803.905,33882.7525,0.0
2021-07-08,33876.09,33941.29,32106.4,32883.2225,0.0
2021-07-09,32882.375,34105.7475,32279.99,33818.1725,0.0
2021-07-10,33824.505,34258.9525,33033.635,33519.4025,0.0
2021-07-11,33518.1,34602.9775,33335.9075,34251.9575,0.0
2021-07-12,34265.07,34670.7275,32671.06,33103.185,0.0
2021-07-13,33092.655,33335.505,32199.885,32727.8275,0.0
2021-07-14,32741.04,33113.145,31586.635,32819.0775,0.0
2021-07-15,32816.695,33185.58,31120.0775,31856.78,0.0
2021-07-16,31878.485,32256.475,31028.84,31394.39,0.0
2021-07-17,31389.82,31946.51,31177.1675,31527.1125,0.0
2021-07-18,31519.79,32442.1125,31120.5,31784.15,0.0
2021-07-19,31789.0925,31888.68,30414.8975,30830.1625,0.0
2021-07-20,30831.7525,31053.175,29293.86,29793.0,0.0
2021-07-21,29794.42,32862.605,29501.505,32135.375,0.0
2021-07-22,32136.545,32608.6425,31732.375,32291.6375,0.0
2021-07-23,32290.7475,33654.655,32025.225,33654.6525,0.0
2021-07-24,33655.2825,34521.015,33425.55,34289.215,0.0
2021-07-25,34291.6475,35446.245,33882.625,35428.2675,0.0
2021-07-26,35430.06,40564.455,35263.77,37268.7025,0.0
2021-07-27,37263.5325,39538.9575,36401.5875,39484.85,0.0
2021-07-28,39470.8,40917.8875,38799.6525,40026.4275,0.0
2021-07-29,40026.5025,40641.5425,39251.695,40029.9225,0.0
2021-07-30,40032.8975,42319.4675,38343.0175,42228.505,0.0
2021-07-31,42234.57,42406.4825,41051.2775,41493.865,0.0
2021-08-01,41497.9925,42604.7975,39425.6425,39867.6725,0.0
2021-08-02,39872.8,40451.5925,38691.27,39156.295,0.0
2021-08-03,39153.2425,39787.14,37619.825,38180.29,0.0
2021-08-04,38180.1375,39962.585,37497.5125,39728.1325,0.0
2021-08-05,39734.64,41421.1325,37316.515,40889.9125,0.0
2021-08-06,40889.615,43390.41,39889.4825,42839.7175,0.0
2021-08-07,42863.7275,44746.2375,42415.8175,44624.2,0.0
2021-08-08,44626.305,45363.41,43300.3225,43842.615,0.0
2021-08-09,43835.855,46502.635,42820.3725,46291.175,0.0
2021-08-10,46285.605,46723.825,44650.37,45599.3,0.0
2021-08-11,45600.155,46769.7525,45361.335,45553.7625,0.0
2021-08-12,45553.4275,46217.5025,43787.135,44424.67,0.0
2021-08-13,44415.9,47917.52,44254.8975,47838.4075,0.0
2021-08-14,47838.43,48178.0075,46030.8225,47115.0775,0.0
2021-08-15,47119.12,47400.905,45521.2425,47022.2825,0.0
2021-08-16,47021.725,48067.1475,45673.53,45917.8125,0.0
2021-08-17,45916.9025,47168.075,44412.1,44680.955,0.0
2021-08-18,44666.2,46026.9725,44224.0825,44702.93,0.0
2021-08-19,44676.69,47081.7475,43960.1375,46764.05,0.0
2021-08-20,46764.96,49409.025,46655.3275,49343.1725,0.0
2021-08-21,49345.1575,49814.37,48291.675,48872.535,0.0
2021-08-22,48873.46,49532.9275,48078.0475,49288.8975,0.0
2021-08-23,49291.6275,50518.98,49038.71,49530.47,0.0
2021-08-24,49512.7875,49873.9325,47602.265,47713.01,0.0
2021-08-25,47688.3725,49265.45,47122.21,49000.2575,0.0
2021-08-26,49002.3075,49366.68,46299.31,46858.64,0.0
2021-08-27,46850.485,49186.165,46370.4675,49084.0325,0.0
